name,prompt,negative_prompt
Milano Fashion Week,"European high fashion runway model aesthetic, high dramatic cheekbones with strong bone structure, striking memorable editorial features, Milan Fashion Week front row quality, sophisticated Italian European styling, timeless elegance beyond trends, Prada Gucci campaign aesthetic, strong confident gaze, architectural facial features, model agency signed quality, editorial styling with intentional fashion choices","casual American mall style, everyday boring, simple plain basic, fast fashion aesthetic, suburban look"
Nordic Ice Queen,"Scandinavian minimalist beauty aesthetic, clean effortless minimal styling, natural platinum blonde or light ash tones, fresh-faced minimal makeup honesty, barely-there makeup enhancing natural features, ethereal Nordic winter beauty, ice queen pale luminous skin, cool undertones embracing, sharp cheekbones and light eyes, hygge comfortable beauty, natural freckles on pale skin, Viking heritage beauty","heavy Instagram makeup, overdone glam, bronzed orange spray tan, dark tanned tropical skin, maximalist styling"
Beach Golden Summer,"sun-kissed summer beach skin with natural gradual tan, healthy outdoor active glow, summer vacation vibes and feeling, warm golden undertones from real sun exposure, natural authentic freckles from sunshine, relaxed carefree summer portrait, golden hour beach lighting, sand and ocean context, salt in hair texture, squinting happy sun exposure, bikini tan lines authenticity, healthy active lifestyle appearance","pale indoor winter skin, cold blue undertones, indoor studio artificial, office worker pallor"
Intimate Boudoir Art,"intimate artistic boudoir photography with intention, soft romantic flattering lighting setup, sensual tasteful atmosphere, bedroom luxury aesthetics, delicate feminine vulnerability, tasteful intimate portrait respecting subject, silk satin and lace textures visible, morning light through curtains, rumpled luxury bedding context, confident comfortable expression, artistic nude adjacent aesthetic, private collector quality","harsh clinical gynecological, bright unflattering, cheap amateur bedroom, creepy uncomfortable, poorly lit snapshot"
Luxury Brand Campaign,"luxury premium commercial photography for high-end brands, international advertising campaign quality, premium sophisticated brand aesthetic, Cartier jewelry campaign lighting, expensive production value evident, aspirational lifestyle imagery, wealthy aesthetic, jewel tones and rich colors, gold and marble implied, old money tasteful, generational wealth aesthetic, museum quality production","cheap budget production, amateur student work, low-end brand, value store catalog, discount advertisement"
Gallery Exhibition Portrait,"fine art portrait photography worthy of gallery exhibition, museum permanent collection quality, artistic intentional composition with meaning, painterly lighting referencing masters, timeless aesthetic transcending trends, conceptual beauty with narrative, expressive emotional depth, thought-provoking portraiture, limited edition print worthy, collected by institutions, photography as high art","commercial stock photography, generic corporate portrait, mundane forgettable, calendar filler, crowd-sourced content"
Rain Soaked Beauty,"wet glistening skin aesthetic with water droplets, fresh from shower or rain appearance, water droplets beading on skin surface, glistening highlights from moisture, after-swimming wetness, rain-soaked romantic aesthetic, aquatic water goddess beauty, wet hair slicked back, mascara potentially running artistically, clothes potentially wet clinging, steam and water vapor atmosphere, bathroom or rain context","bone dry desert skin, matte powder makeup, arid conditions, drought aesthetic"
Urban Night Neon,"nighttime urban portrait with city environment, colorful city lights creating neon bokeh background, neon sign reflections casting colors on skin, urban night street aesthetic, moody evening big city atmosphere, colored ambient light painting face pink blue purple, Tokyo Shibuya or NYC Times Square vibes, rain on pavement reflecting lights, confident city person, night owl energy, metropolitan sophistication","bright daylight sunshine, nature outdoor trail, rural countryside, small town americana, suburban"
Authentic Unposed Moment,"candid authentic unposed moment captured, real genuine expression not performed, genuine emotion in eyes and mouth, photojournalistic documentary style, authentic beauty in real life, natural unstaged movement, spontaneous genuine reaction, not aware of camera or comfortable with it, real life happening, street photography portrait approach, decisive moment capture","overly staged artificial pose, contrived stiff uncomfortable, fake smile performing, modeling cliche pose, aware of camera performing"
Supermodel Glamour,"high fashion supermodel glamour and drama, 1990s supermodel era aesthetic, runway goddess quality, designer exclusive campaign, couture beauty at highest level, striking bold memorable features, fashion icon status, Naomi Linda Christy Cindy era, bold confident powerful, fashion industry insider quality, magazine subscription worthy, frame it on wall quality","casual forgettable everyday, simple plain boring, basic unremarkable, background person"
Kawaii Sweet Cute,"cute adorable kawaii-inspired aesthetic, youthful playful happy energy, innocent playful charming vibe, sweet endearing features, bright cheerful expression, delicate petite feminine softness, Japanese kawaii culture inspired, pastel soft colors, gentle soft lighting, friendly approachable warmth, genuine happy smile, sparkling eyes with life","mature serious stern harsh, angry dark brooding, intimidating aggressive, cold unfriendly"
Angelic Ethereal Dream,"ethereal otherworldly dreamy portrait, soft diffused glowing edges, angelic heavenly glow surrounding subject, fantasy-like impossible beauty, otherworldly not quite human aesthetic, magical fantastical atmosphere, soft pastel heavenly tones, lens diffusion creating glow, backlit creating halo effect, divine inspired, renaissance angel painting reference, floating peaceful serene","harsh gritty reality, urban decay, dark gothic, horror aesthetic, grounded mundane"
Old Hollywood Glamour,"classic Hollywood golden age glamour, 1940s 1950s studio system lighting, silver screen black and white convertible, Marilyn Monroe Audrey Hepburn era, vintage timeless glamour, Hollywood studio portrait lighting, starlet quality, movie poster worthy, celebrity status evident, red carpet ready, paparazzi dream, old money Hollywood royalty","modern contemporary casual, everyday current, streetwear, athleisure, fast fashion"
Bare Face Confidence,"fresh face bare skin minimal to no makeup look, natural unadorned beauty celebrated, clean healthy complexion, authentic girl-next-door approachability, minimal cosmetics maximum confidence, real skin real beauty, natural brow shape, lips own natural color, skin texture visible not hidden, confident without hiding behind makeup, natural beauty movement, skincare not makeup goals","heavy dramatic full glam, editorial extreme makeup, theatrical stage makeup, costume makeup, Instagram baddie"
